,output product,import requirements,value
5196,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Rest of repair; Installation - 33.11-14/17/19/20,0
5197,Natural water; water treatment and supply services,Rest of repair; Installation - 33.11-14/17/19/20,0
5198,Sewerage services; sewage sludge,Rest of repair; Installation - 33.11-14/17/19/20,0
5199,"Waste collection, treatment and disposal services; materials recovery services",Rest of repair; Installation - 33.11-14/17/19/20,1
5200,Remediation services and other waste management services,Rest of repair; Installation - 33.11-14/17/19/20,0
5201,Construction,Rest of repair; Installation - 33.11-14/17/19/20,7
5202,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Rest of repair; Installation - 33.11-14/17/19/20,0
5203,"Wholesale trade services, except of motor vehicles and motorcycles",Rest of repair; Installation - 33.11-14/17/19/20,0
5204,"Retail trade services, except of motor vehicles and motorcycles",Rest of repair; Installation - 33.11-14/17/19/20,0
5205,Rail transport services,Rest of repair; Installation - 33.11-14/17/19/20,0
5206,"Land transport services and transport services via pipelines, excluding rail transport",Rest of repair; Installation - 33.11-14/17/19/20,35
5207,Water transport services,Rest of repair; Installation - 33.11-14/17/19/20,12
5208,Air transport services,Rest of repair; Installation - 33.11-14/17/19/20,7
5209,Warehousing and support services for transportation,Rest of repair; Installation - 33.11-14/17/19/20,0
5210,Postal and courier services,Rest of repair; Installation - 33.11-14/17/19/20,0
5211,Accommodation services,Rest of repair; Installation - 33.11-14/17/19/20,0
5212,Food and beverage serving services,Rest of repair; Installation - 33.11-14/17/19/20,0
5213,Publishing services,Rest of repair; Installation - 33.11-14/17/19/20,4
5214,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Rest of repair; Installation - 33.11-14/17/19/20,0
5215,Telecommunications services,Rest of repair; Installation - 33.11-14/17/19/20,0
5216,"Computer programming, consultancy and related services",Rest of repair; Installation - 33.11-14/17/19/20,76
5217,Information services,Rest of repair; Installation - 33.11-14/17/19/20,17
5218,"Financial services, except insurance and pension funding",Rest of repair; Installation - 33.11-14/17/19/20,6
5219,"Insurance, reinsurance and pension funding services, except compulsory social security",Rest of repair; Installation - 33.11-14/17/19/20,52
5220,Services auxiliary to financial services and insurance services,Rest of repair; Installation - 33.11-14/17/19/20,4
5221,Real estate services on a fee or contract basis,Rest of repair; Installation - 33.11-14/17/19/20,0
5222,Owner-Occupiers' Housing Services,Rest of repair; Installation - 33.11-14/17/19/20,0
5223,"Real estate services, excluding on a fee or contract basis and imputed rent",Rest of repair; Installation - 33.11-14/17/19/20,1
5224,Legal services,Rest of repair; Installation - 33.11-14/17/19/20,4
5225,"Accounting, bookkeeping and auditing services; tax consulting services",Rest of repair; Installation - 33.11-14/17/19/20,13
5226,Services of head offices; management consulting services,Rest of repair; Installation - 33.11-14/17/19/20,25
5227,Architectural and engineering services; technical testing and analysis services,Rest of repair; Installation - 33.11-14/17/19/20,128
5228,Scientific research and development services,Rest of repair; Installation - 33.11-14/17/19/20,0
5229,Advertising and market research services,Rest of repair; Installation - 33.11-14/17/19/20,26
5230,"Other professional, scientific and technical services",Rest of repair; Installation - 33.11-14/17/19/20,3
5231,Veterinary services,Rest of repair; Installation - 33.11-14/17/19/20,0
5232,Rental and leasing services,Rest of repair; Installation - 33.11-14/17/19/20,58
5233,Employment services,Rest of repair; Installation - 33.11-14/17/19/20,46
5234,"Travel agency, tour operator and other reservation services and related services",Rest of repair; Installation - 33.11-14/17/19/20,0
5235,Security and investigation services,Rest of repair; Installation - 33.11-14/17/19/20,0
5236,Services to buildings and landscape,Rest of repair; Installation - 33.11-14/17/19/20,0
5237,"Office administrative, office support and other business support services",Rest of repair; Installation - 33.11-14/17/19/20,45
5238,Public administration and defence services; compulsory social security services,Rest of repair; Installation - 33.11-14/17/19/20,0
5239,Education services,Rest of repair; Installation - 33.11-14/17/19/20,0
5240,Human health services,Rest of repair; Installation - 33.11-14/17/19/20,0
5241,Residential Care  & Social Work Activities,Rest of repair; Installation - 33.11-14/17/19/20,0
5242,"Creative, arts and entertainment services",Rest of repair; Installation - 33.11-14/17/19/20,0
5243,"Libraries, archives, museums and other cultural services",Rest of repair; Installation - 33.11-14/17/19/20,0
5244,Gambling and betting services,Rest of repair; Installation - 33.11-14/17/19/20,0
5245,Sports services and amusement and recreation services,Rest of repair; Installation - 33.11-14/17/19/20,0
5246,Services furnished by membership organisations,Rest of repair; Installation - 33.11-14/17/19/20,0
5247,Repair services of computers and personal and household goods,Rest of repair; Installation - 33.11-14/17/19/20,0
5248,Other personal services,Rest of repair; Installation - 33.11-14/17/19/20,0
5249,Services of households as employers of domestic personnel,Rest of repair; Installation - 33.11-14/17/19/20,0
5250,"Products of agriculture, hunting and related services","Electric power generation, transmission and distribution",0
5251,"Products of forestry, logging and related services","Electric power generation, transmission and distribution",0
5252,Fish and other fishing products; aquaculture products; support services to fishing,"Electric power generation, transmission and distribution",0
5253,Coal and lignite,"Electric power generation, transmission and distribution",619
5254,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,"Electric power generation, transmission and distribution","2,073"
5255,Other mining and quarrying products,"Electric power generation, transmission and distribution",0
5256,Mining support services,"Electric power generation, transmission and distribution",0
5257,Preserved meat and meat products,"Electric power generation, transmission and distribution",0
5258,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","Electric power generation, transmission and distribution",0
5259,Vegetable and animal oils and fats,"Electric power generation, transmission and distribution",1
5260,Dairy products,"Electric power generation, transmission and distribution",0
5261,"Grain mill products, starches and starch products","Electric power generation, transmission and distribution",0
5262,Bakery and farinaceous products,"Electric power generation, transmission and distribution",0
5263,Other food products,"Electric power generation, transmission and distribution",0
5264,Prepared animal feeds,"Electric power generation, transmission and distribution",0
5265,Alcoholic beverages  & Tobacco products,"Electric power generation, transmission and distribution",0
5266,Soft drinks,"Electric power generation, transmission and distribution",0
5267,Textiles,"Electric power generation, transmission and distribution",0
5268,Wearing apparel,"Electric power generation, transmission and distribution",0
5269,Leather and related products,"Electric power generation, transmission and distribution",0
5270,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","Electric power generation, transmission and distribution",0
5271,Paper and paper products,"Electric power generation, transmission and distribution",0
5272,Printing and recording services,"Electric power generation, transmission and distribution",0
5273,Coke and refined petroleum products,"Electric power generation, transmission and distribution",0
5274,"Paints, varnishes and similar coatings, printing ink and mastics","Electric power generation, transmission and distribution",0
5275,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Electric power generation, transmission and distribution",0
5276,Other chemical products,"Electric power generation, transmission and distribution",0
5277,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","Electric power generation, transmission and distribution",0
5278,Petrochemicals - 20.14/16/17/60,"Electric power generation, transmission and distribution",0
5279,"Dyestuffs, agro-chemicals - 20.12/20","Electric power generation, transmission and distribution",0
5280,Basic pharmaceutical products and pharmaceutical preparations,"Electric power generation, transmission and distribution",12
5281,Rubber and plastic products,"Electric power generation, transmission and distribution",0
5282,"Cement, lime, plaster and articles of concrete, cement and plaster","Electric power generation, transmission and distribution",0
5283,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","Electric power generation, transmission and distribution",0
5284,Basic iron and steel,"Electric power generation, transmission and distribution",0
5285,Other basic metals and casting,"Electric power generation, transmission and distribution",2
